name,phone,addr:housenumber,addr:street,addr:city,addr:state,addr:postcode,operator,isced:level,grades,religion,denomination,wikidata,wikipedia,website
Academy of International Studies,+1 313 873 9900,2609,Poland Street,Hamtramck,MI,48212,,0;1;2,K;1;2;3;4;5;6;7;8,,
Academy of Sacred Heart,+1 248 646 8900,1250,Kensington Rd,Bloomfield Hills,MI,48304,,0;1;2;3,K;1;2;3;4;5;6;7;8;9;10;11;12,christian,roman_catholic
Acton Academy Ann Arbor (A2),+1 734 788 2768,4115,Jackson Rd,Ann Arbor,MI,48103,,1,2;3,,
Ada Christian School,+1 616 676 1289,6206,Ada Dr Se,Ada,MI,49301,,0;1;2,K;1;2;3;4;5;6;7;8,christian,
Adams Christian School,+1 616 531 0748,5539,Byron Center Ave Sw,Wyoming,MI,49519,,0;1;2;3,K;1;2;3;4;5;6;7;8;9,,
Adelphian Junior Academy,+1 248 634 9481,740,Academy Rd,Holly,MI,48442,,0;1;2;3,K;1;2;3;4;5;6;7;8;9;10,christian,seventh_day_adventist
Aim High School,+1 248 702 6922,29230,12 Mile Road,Farmington Hills,MI,48334,,2;3,6;7;8;9;10;11;12,,
"Alderbrook School, Inc.",+1 248 731 7725,1050,E Square Lake Rd,Bloomfield Hills,MI,48304,,1;2;3,3;4;5;6;7;8;9;10;11;12,,
Al-Furqan Quran Academy,+1 313 584 4464,4430,Saint James St,Detroit,MI,48210,,0;1;2,PK;1;2;3;4;5;6;7;8,,
Algoma Christian School,+1 616 678 7480,14471,Sparta Ave,Kent City,MI,49330,,0;1;2;3,K;1;2;3;4;5;6;7;8;9;10;11;12,,
Al-Ikhlas Training Academy,+1 313 369 0880,12555,Mcdougall St,Detroit,MI,48212,,0;1;2;3,K;1;2;3;4;5;6;7;8;9;10;11;12,,
All Saints Academy Elementary School,+1 616 447 2997,2233,Diamond Ave Ne,Grand Rapids,MI,49505,,0;1,K;1;2;3,christian,roman_catholic
All Saints Academy Middle School,+1 616 363 7725,1110,4 Mile Rd Ne,Grand Rapids,MI,49525,,1;2,4;5;6;7;8,christian,roman_catholic
All Saints Catholic Academy,+1 906 932 3200,106,South Marquette St,Ironwood,MI,49938,,0;1;2,K;1;2;3;4;5;6,christian,roman_catholic
All Saints Catholic School,+1 989 354 4911,500,North Second Ave,Alpena,MI,49707,,0;1;2,K;1;2;3;4;5;6;7;8,christian,roman_catholic
All Saints Catholic School,+1 734 459 2490,48735,Warren Rd,Canton,MI,48187,,0;1;2,K;1;2;3;4;5;6;7;8,christian,roman_catholic
All Saints Central School,+1 989 892 2533,217,South Monroe St,Bay City,MI,48708,,2;3,6;7;8;9;10;11;12,christian,roman_catholic
All Saints Elementary School,+1 989 892 4371,715,14Th St,Bay City,MI,48708,,0;1,K;1;2;3;4;5,christian,roman_catholic
Allendale Christian School,+1 616 895 5108,11050,64Th Ave,Allendale,MI,49401,,0;1;2,K;1;2;3;4;5;6;7;8,christian,
American International Prep School,+1 810 348 2737,50,West Big Beaver Road,Troy,MI,48084,,0;1;2;3,K;1;2;3;4;5;6;7;8;9;10;11;12,,
AnchorPoint Christian School,+1 616 608 4006,601,"36Th Street, Sw",Wyoming,MI,49509,,0;1;2,K;1;2;3;4;5;6,christian,
Ann Arbor Academy,+1 734 747 6641,1153,Oak Valley Drive,Ann Arbor,MI,48108,,1;2;3,4;5;6;7;8;9;10;11;12,,
Ann Arbor Adventist Elementary School,+1 734 971 5570,2796,Packard St,Ann Arbor,MI,48108,,1;2,2;3;4;5;6;7;8,christian,seventh_day_adventist
Ann Arbor Children's House,+1 734 330 8190,2309,Packard St,Ann Arbor,MI,48104,,0,K,,
Ann Arbor Christian School,+1 734 741 4948,5500,Whitmore Lake Rd,Ann Arbor,MI,48105,,0;1;2,K;1;2;3;4;5;6;7;8,christian,
Ann Arbor Hills Child Dev. Center,+1 734 971 3080,2775,Bedford Rd,Ann Arbor,MI,48104,,0;1,K;1;2,,
"Arbor Valley Academy, LLC ",+1 734 216 0619,2302,Packard Rd,Ypsilanti,MI,48197,,0;1;2,K;1;2;3;4;5;6;7;8,,
ASA Higher Learning Preparatory,+1 313 341 1558,20433,Livernois Ave.,Detroit,MI,48221,,0;1,K;1;2;3,,
Assumption of the Blessed Virgin Mary Catholic School,+1 616 361 5483,6393,Belmont Ave Ne,Belmont,MI,49306,,0;1;2,K;1;2;3;4;5;6;7;8,christian,roman_catholic
Auburn Area Catholic School,+1 989 662 6431,114,West Midland Rd,Auburn,MI,48611,,0;1,K;1;2;3;4;5,christian,roman_catholic
Auburn Hills Christian School,+1 248 373 3399,3655,North Squirrel Rd,Auburn Hills,MI,48326,,0;1;2;3,K;1;2;3;4;5;6;7;8;9;10;11;12,,
Austin Catholic High School,+1 586 200 0143,25925,23 Mile Road,Chesterfield,MI,48051,,3,9;10;11;12,christian,roman_catholic,Q16822090,Austin Catholic High School (Michigan),http://austincatholicacademy.org
Baldwin Road Church Academy,+1 248 335 6011,1750,Baldwin Ave,Pontiac,MI,48340,,1;2;3,1;2;3;4;5;6;7;8;9;10;11;12,christian,baptist
Barry County Christian School,+1 269 948 2151,2999,Mckeown Rd,Hastings,MI,49058,,0;1;2;3,K;1;2;3;4;5;6;7;8;9;10;11;12,,
Battle Creek Academy,+1 269 965 1278,480,Parkway Dr,Battle Creek,MI,49037,,0;1;2;3,K;1;2;3;4;5;6;7;8;9;10;11;12,christian,seventh_day_adventist
Bedford Bible Church School,+1 269 964 3238,21964,Bedford Rd N,Battle Creek,MI,49017,,0;1;2;3,K;1;2;3;4;5;6;7;8;9;10;11;12,,
Bellevue Christian Academy,+1 240 329 4309,22980,13 Mile Rd,Bellevue,MI,49021,,1;2;3,1;2;3;4;5;6;7;8;9;10;11;12,,
Berean Baptist Academy,+1 517 263 5050,751,West Maumee St,Adrian,MI,49221,,0;1;2;3,K;1;2;3;4;5;6;7;8;9;10;11;12,christian,baptist
Beth Haven Baptist Academy,+1 989 291 0555,1158,West Carson City Rd,Sheridan,MI,48884,,0;1;2;3,K;1;2;3;4;5;6;7;8;9;10;11;12,christian,baptist
Beth Jacob School,+1 248 544 9070,14390,West 10 Mile Rd,Oak Park,MI,48237,,0;1;2;3,PK;K;1;2;3;4;5;6;7;8;9;10;11;12,jewish,
Bethany Christian School,+1 248 689 4821,2601,John R Rd,Troy,MI,48083,,0;1;2;3,K;1;2;3;4;5;6;7;8;9;10;11;12,,
Bethel Baptist Christian School,+1 906 341 6335,118,East Elk St,Manistique,MI,49854,,0;1;3,K;2;4;5;9;10,christian,baptist
Bethel Community Education ,+1 616 581 7188,8356,Belding Rd Ne,Rockford,MI,49341,,0;1;2,K;1;2;3;4;5;6;7;8,,
Bethel Lutheran School,+1 989 892 4508,749,N Pine Rd,Bay City,MI,48708,,0;1;2,K;1;2;3;4;5;6;7;8,christian,lutheran
Bethlehem Lutheran School,+1 989 755 1146,2777,Hermansau Rd,Saginaw,MI,48604,,0;1;2,K;1;2;3;4;5;6;7;8,christian,lutheran
Beverly Hills Academy,+1 248 433 9470,32605,Bellvine Trail,Beverly Hills,MI,48025,,0;1;2,PK;K;1;2;3;4;5;6;7;8,muslim,
Birch Grove University Prep,+1 810 858 7298,1315,N Pine St,Rochester Hls,MI,48307,,0;1;2,PK;K;1;2;3;4;5;6,,
Bishop Baraga Catholic School,+1 906 774 2277,406,West B St,Iron Mountain,MI,49801,,0;1;2,K;1;2;3;4;5;6;7;8,christian,roman_catholic
Bishop Baraga Catholic School,+1 231 627 5608,623,West Lincoln Ave,Cheboygan,MI,49721,,0;1;2,K;1;2;3;4;5;6,christian,roman_catholic
Bishop Foley Catholic High School,+1 248 585 1210,32000,Campbell Rd,Madison Heights,MI,48071,,3,9;10;11;12,christian,roman_catholic,Q4917555,Bishop Foley Catholic High School,http://www.bishopfoley.org
Bishop Kelley Memorial School,+1 810 664 5011,926,West Nepessing St,Lapeer,MI,48446,,0;1;2,K;1;2;3;4;5;6;7;8,christian,roman_catholic
Blessed Sacrament School,+1 989 835 6777,3109,Swede Ave,Midland,MI,48642,,0;1,K;1;2;3;4;5,christian,roman_catholic
Bloomfield Christian School,+1 248 457 1510,3570,Telegraph Road,Bloomfield Hills,MI,48302,,0;1;2;3,K;1;2;3;4;5;6;7;8;9;10;11;12,,
Bluff View Christian School,+1 906 663 6959,507,E Cinnebar St,Bessemer,MI,49911,,0;1,K;1;2;3,christian,seventh_day_adventist
Borculo Christian School,+1 616 875 8152,6830,96Th Ave,Zeeland,MI,49464,,0;1;2,K;1;2;3;4;5;6;7;8,christian,
Bowen Creek Amish School,+1 517 639 7141,715,North Briggs Rd,Quincy,MI,49082,,1;2,1;2;3;4;5;6;7;8,christian,amish
