EntityOfficialName,EntityStatus,EntityPhone,EntityPhysicalStreet,EntityPhysicalCity,EntityPhysicalState,EntityPhysicalZip4,DistrictOfficialName,EntityActualGrades,EntityReligiousOrientationName
A&J Romper Room Educ. Center,Closed,3133684551,17526 Riopelle St,Highland Park,MI,482032440,,"3,4,5,6,7",
Aabizikaawin Alternative,Closed,9897754459,7070 EAST BROADWAY RD,MOUNT PLEASANT,MI,488588970,,"7,8,9,10,11,12",Unknown
Abundant Life Academy,Closed,5177237603,208 W Oliver St,Owosso,MI,488672318,,"KG-Part,1,2,3,4,5,6,7,8,9,10,11,12",Unknown
Abyssinia School of Explorers,Closed,2485579451,20820 Greenfield Rd,Oak Park,MI,482373051,,"KG-Part,1,2,3,4,5,6,7,8",Unknown
"Academy of Excellence, Inc.",Closed,3135261337,11560 EAST MCNICHOLS RD,DETROIT,MI,482053254,,"KG-Part,1,2,3,4,5",Unknown
Academy of International Studies,Open-Active,3138739900,2609 Poland Street,Hamtramck,MI,482123459,,"KG,1,2,3,4,5,6,7,8",Unaffiliated - Private Secular
Academy of Sacred Heart,Open-Active,2486468900,1250 KENSINGTON RD,BLOOMFIELD HILLS,MI,483043029,,"KG-Part,1,2,3,4,5,6,7,8,9,10,11,12",Roman Catholic
Acadia Montessori,Closed,2488537070,254 Hampton Cir,Rochester Hills,MI,483074102,,"KG-Part,1,2",Unknown
Acadia Montessori School,Closed,2483357070,43816 Woodward Ave,Bloomfield Hills,MI,483025019,,"KG-Part,1,2",Unknown
Acton Academy Ann Arbor (A2),Open-Active,7347882768,4115 JACKSON RD,ANN ARBOR,MI,481031827,,"2,3",
Ada Christian School,Open-Active,6166761289,6206 ADA DR SE,ADA,MI,493017400,,"KG-Part,1,2,3,4,5,6,7,8",Christian (no specific denomination)
Adams Christian School,Open-Active,6165310748,5539 BYRON CENTER AVE SW,WYOMING,MI,495199603,,"KG-Part,1,2,3,4,5,6,7,8,9",Unknown
Adelphian Junior Academy,Open-Active,2486349481,740 ACADEMY RD,HOLLY,MI,484421544,,"KG-Part,1,2,3,4,5,6,7,8,9,10",Seventh-Day Adventist
Adrian Temporary Facility,Closed,5172633500,2727 E Beecher St,Adrian,MI,49221,,,
Agape Christian Academy,Closed,7343940357,45081 Geddes Rd,Canton,MI,481882413,,"KG-Part,1,2,3,4,5,6,7,8,9,10,11,12",Unknown
Agnus Dei Academy,Closed,7344494091,11648 NORTH MAIN ST,WHITMORE LAKE,MI,481899117,,"KG-Part,1,2,3,4,5,6,7",Roman Catholic
Aim High School,Open-Active,2487026922,29230 12 Mile Road,Farmington Hills,MI,483344108,,"6,7,8,9,10,11,12",Unknown
"Alderbrook School, Inc.",Open-Active,2487317725,1050 E Square Lake Rd                                       ,Bloomfield Hills                                            ,MI,483041957,,"3,4,5,6,7,8,9,10,11,12",
Al-Furqan Quran Academy,Open-Active,3135844464,4430 SAINT JAMES ST,DETROIT,MI,482103502,,"DevK-Part,1,2,3,4,5,6,7,8",
Algoma Christian School,Open-Active,6166787480,14471 SPARTA AVE,KENT CITY,MI,493309728,,"KG-Part,1,2,3,4,5,6,7,8,9,10,11,12",Unknown
Al-Ikhlas Training Academy,Closed,3139250880,13490 DWYER ST,HAMTRAMCK,MI,482121359,,"KG-Part,1,2,3,4,5,6,7,8,9,10,11,12",Unknown
Al-Ikhlas Training Academy,Open-Active,3133690880,12555 MCDOUGALL ST,DETROIT,MI,482122262,,"KG,1,2,3,4,5,6,7,8,9,10,11,12",
All Saints Academy Elementary,Open-Active,6164472997,2233 DIAMOND AVE NE,GRAND RAPIDS,MI,495054313,,"KG,KG-Part,1,2,3",Roman Catholic
All Saints Academy Middle School,Open-Active,6163637725,1110 4 MILE RD NE,GRAND RAPIDS,MI,495252653,,"4,5,6,7,8",Roman Catholic
All Saints Catholic Academy,Open-Active,9069323200,106 SOUTH MARQUETTE ST,IRONWOOD,MI,499382060,,"KG-Part,1,2,3,4,5,6",Roman Catholic
All Saints Catholic School,Open-Active,9893544911,500 NORTH SECOND AVE,ALPENA,MI,497072340,,"KG-Part,1,2,3,4,5,6,7,8",Roman Catholic
All Saints Catholic School,Open-Active,7344592490,48735 WARREN RD,CANTON,MI,481871216,,"KG-Part,1,2,3,4,5,6,7,8",Roman Catholic
All Saints Central School,Open-Active,9898922533,217 SOUTH MONROE ST,BAY CITY,MI,487087208,,"6,7,8,9,10,11,12",Roman Catholic
All Saints Elementary,Open-Active,9898924371,715 14TH ST,BAY CITY,MI,487087204,,"KG-Part,1,2,3,4,5",Roman Catholic
Allegan Coop Preschool Nursery,Closed,,441 Trowbridge St,Allegan,MI,490101230,,,Unknown
Allendale Christian School,Open-Active,6168955108,11050 64TH AVE,ALLENDALE,MI,494018429,,"KG-Part,1,2,3,4,5,6,7,8",Christian (no specific denomination)
Allendale Preschool Nursery,Closed,,6633 Lake Michigan Dr,Allendale,MI,494019575,,,
Alpena Christian School,Closed,9893581826,500 S Brooke St,Alpena,MI,497074405,,"KG-Part,1,2,3,4,5,6",Unknown
Alpena SDA Elementary School,Closed,9893562932,4029 US HIGHWAY 23 S,ALPENA,MI,497075135,,"2,3,4,5,6,7,8",Seventh-Day Adventist
American International Prep School,Open-Active,8103482737,50 West Big Beaver Road,Troy,MI,480845218,,"KG,KG-Part,1,2,3,4,5,6,7,8,9,10,11,12",Unaffiliated - Private Secular
American Islamic Academy,Closed,3139456504,6409 Schaefer Rd,Dearborn,MI,481262212,,"KG-Part,1,2,3,4,5,6,7,8,9,10,11,12",Islamic
American Reformed School,Closed,6166988020,3179 68th St SE,Caledonia,MI,493169133,,"1,2,3,4,5,6,7,8,9,10,11,12",Unknown
Amish Private #2 Camden School,Closed,5174391515,CAMDEN RD,CAMDEN,MI,49232    ,,"1,2,3,4,5,6,7,8",Amish
Amish Private #2 School,Closed,5174391515,CARPENTER RD,CAMDEN,MI,49232    ,,"1,2,3,4,5,6,7,8",Amish
Amish Private #2 School,Closed,5174391515,Rural Route #2,Montgomery,MI,49255,,"1,2,3,4,5,6,7,8",Unknown
AnchorPoint Christian School,Open-Active,6166084006,"601 36th Street, SW",Wyoming,MI,49509,,"KG-Part,1,2,3,4,5,6",Christian (no specific denomination)
Ann Arbor Academy,Open-Active,7347476641,1153 Oak Valley Drive,ANN ARBOR,MI,481088943,,"4,5,6,7,8,9,10,11,12",Unknown
Ann Arbor Adventist Elementary School,Open-Active,7349715570,2796 PACKARD ST,ANN ARBOR,MI,481083257,,"2,3,4,5,6,7,8",Seventh-Day Adventist
Ann Arbor Children's House,Open-Active,7343308190,2309 PACKARD ST,ANN ARBOR,MI,481046321,,KG,
