item,itemLabel,page_title,gnis,website
http://www.wikidata.org/entity/Q5016481,Cadillac High School,Cadillac High School,,http://cadillac.chs.schooldesk.net/
http://www.wikidata.org/entity/Q5946889,Huron High School,"Huron High School (Ann Arbor, Michigan)",,http://www.a2huron.org
http://www.wikidata.org/entity/Q5053094,Catholic Central High School,"Catholic Central High School (Grand Rapids, Michigan)",,http://www.grcatholiccentral.com
http://www.wikidata.org/entity/Q5053096,Catholic Central High School,"Catholic Central High School (Manistee, Michigan)",,http://www.sabers.org
http://www.wikidata.org/entity/Q5637279,Hackett Catholic Central High School,Hackett Catholic Prep High School,,http://www.hackettcc.org
http://www.wikidata.org/entity/Q5417023,Everett High School,Everett High School (Michigan),,http://www.lansingschools.net/schools/high-schools/everett/
http://www.wikidata.org/entity/Q5015844,Cabrini High School,Cabrini High School (Michigan),,http://www.cabrinihighschool.org
http://www.wikidata.org/entity/Q5416948,Everest Academy and High School,Everest Collegiate High School and Academy,,http://www.everestcatholic.org/
http://www.wikidata.org/entity/Q5244519,De La Salle Collegiate High School,De La Salle Collegiate High School,,http://www.delasallehs.com
http://www.wikidata.org/entity/Q5647029,Hancock Central High School,Hancock Central High School (Michigan),,http://www.hancock.k12.mi.us/
http://www.wikidata.org/entity/Q5929087,Hudsonville High School,Hudsonville High School,,http://www.hudsonville.k12.mi.us/HPS/index.php?option=com_content&task=section&id=12&Itemid=136
http://www.wikidata.org/entity/Q5437597,Father Gabriel Richard High School,"Father Gabriel Richard High School (Ann Arbor, Michigan)",,http://www.fgrhs.org
http://www.wikidata.org/entity/Q5912952,Houghton High School,Houghton High School,,http://hpts.us/
http://www.wikidata.org/entity/Q5024077,Calumet High School,"Calumet High School (Calumet, Michigan)",,http://www.clkschools.org/high-school
http://www.wikidata.org/entity/Q4917555,Bishop Foley Catholic High School,Bishop Foley Catholic High School,,http://www.bishopfoley.org
http://www.wikidata.org/entity/Q6477225,Lake Orion High School,Lake Orion High School,,http://www.lakeorion.k12.mi.us/school_home.aspx?schoolid=1
http://www.wikidata.org/entity/Q5604690,Greenville High School,Greenville High School (Michigan),,http://www.greenville.k12.mi.us/HighSchool.cfm?subpage=76967
http://www.wikidata.org/entity/Q5249306,Deckerville High School,Deckerville High School,,
http://www.wikidata.org/entity/Q4894701,Berrien Springs High School,Berrien Springs High School,,
http://www.wikidata.org/entity/Q5188011,Croswell-Lexington High School,Croswell-Lexington High School,,
http://www.wikidata.org/entity/Q5178831,Cousino High School,Cousino High School,,http://www.wcs.k12.mi.us/cousino
